"ICD10","ICD10_Desc_x","ICD9","ICD9_Desc_x","APPROX_x","NOMAP_x","COMBO_x","SCENARIO_x","CHOICE_x","ICD10_Desc_y","ICD9_Desc_y","APPROX_y","NOMAP_y","COMBO_y","SCENARIO_y","CHOICE_y"
"C81.70","Other classical Hodgkin lymphoma, unspecified site","201.00","Hdgk prg unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, unspecified site","Hdgk prg unsp xtrndl org","1","0","0","0","0"
"C81.79","Oth class Hodgkin lymphoma, extrnod and solid organ sites","201.00","Hdgk prg unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, extranodal and solid organ sites","Hdgk prg unsp xtrndl org","1","0","0","0","0"
"C81.71","Oth class Hodgkin lymphoma, nodes of head, face, and neck","201.01","Hodgkins paragran head","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Hodgkins paragran head","1","0","0","0","0"
"C81.72","Other classical Hodgkin lymphoma, intrathoracic lymph nodes","201.02","Hodgkins paragran thorax","1","0","0","0","0","Other Hodgkin lymphoma, intrathoracic lymph nodes","Hodgkins paragran thorax","1","0","0","0","0"
"C81.73","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes","201.03","Hodgkins paragran abdom","1","0","0","0","0","Other Hodgkin lymphoma, intra-abdominal lymph nodes","Hodgkins paragran abdom","1","0","0","0","0"
"C81.74","Oth class Hodgkin lymphoma, nodes of axilla and upper limb","201.04","Hodgkins paragran axilla","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Hodgkins paragran axilla","1","0","0","0","0"
"C81.75","Oth class Hodgkin lymph, nodes of ing region and lower limb","201.05","Hodgkins paragran inguin","1","0","0","0","0","Other Hodgkin lymphoma, nodes of ing region and lower limb","Hodgkins paragran inguin","1","0","0","0","0"
"C81.76","Other classical Hodgkin lymphoma, intrapelvic lymph nodes","201.06","Hodgkins paragran pelvic","1","0","0","0","0","Other Hodgkin lymphoma, intrapelvic lymph nodes","Hodgkins paragran pelvic","1","0","0","0","0"
"C81.77","Other classical Hodgkin lymphoma, spleen","201.07","Hodgkins paragran spleen","1","0","0","0","0","Other Hodgkin lymphoma, spleen","Hodgkins paragran spleen","1","0","0","0","0"
"C81.78","Oth classical Hodgkin lymphoma, lymph nodes mult site","201.08","Hodgkins paragran mult","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of multiple sites","Hodgkins paragran mult","1","0","0","0","0"
"C81.70","Other classical Hodgkin lymphoma, unspecified site","201.10","Hdgk grn unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, unspecified site","Hdgk grn unsp xtrndl org","1","0","0","0","0"
"C81.79","Oth class Hodgkin lymphoma, extrnod and solid organ sites","201.10","Hdgk grn unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, extranodal and solid organ sites","Hdgk grn unsp xtrndl org","1","0","0","0","0"
"C81.71","Oth class Hodgkin lymphoma, nodes of head, face, and neck","201.11","Hodgkins granulom head","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Hodgkins granulom head","1","0","0","0","0"
"C81.72","Other classical Hodgkin lymphoma, intrathoracic lymph nodes","201.12","Hodgkins granulom thorax","1","0","0","0","0","Other Hodgkin lymphoma, intrathoracic lymph nodes","Hodgkins granulom thorax","1","0","0","0","0"
"C81.73","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes","201.13","Hodgkins granulom abdom","1","0","0","0","0","Other Hodgkin lymphoma, intra-abdominal lymph nodes","Hodgkins granulom abdom","1","0","0","0","0"
"C81.74","Oth class Hodgkin lymphoma, nodes of axilla and upper limb","201.14","Hodgkins granulom axilla","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Hodgkins granulom axilla","1","0","0","0","0"
"C81.75","Oth class Hodgkin lymph, nodes of ing region and lower limb","201.15","Hodgkins granulom inguin","1","0","0","0","0","Other Hodgkin lymphoma, nodes of ing region and lower limb","Hodgkins granulom inguin","1","0","0","0","0"
"C81.76","Other classical Hodgkin lymphoma, intrapelvic lymph nodes","201.16","Hodgkins granulom pelvic","1","0","0","0","0","Other Hodgkin lymphoma, intrapelvic lymph nodes","Hodgkins granulom pelvic","1","0","0","0","0"
"C81.77","Other classical Hodgkin lymphoma, spleen","201.17","Hodgkins granulom spleen","1","0","0","0","0","Other Hodgkin lymphoma, spleen","Hodgkins granulom spleen","1","0","0","0","0"
"C81.78","Oth classical Hodgkin lymphoma, lymph nodes mult site","201.18","Hodgkins granulom mult","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of multiple sites","Hodgkins granulom mult","1","0","0","0","0"
"C81.70","Other classical Hodgkin lymphoma, unspecified site","201.20","Hdgk src unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, unspecified site","Hdgk src unsp xtrndl org","1","0","0","0","0"
"C81.79","Oth class Hodgkin lymphoma, extrnod and solid organ sites","201.20","Hdgk src unsp xtrndl org","1","0","0","0","0","Other Hodgkin lymphoma, extranodal and solid organ sites","Hdgk src unsp xtrndl org","1","0","0","0","0"
"C81.71","Oth class Hodgkin lymphoma, nodes of head, face, and neck","201.21","Hodgkins sarcoma head","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of head, face, and neck","Hodgkins sarcoma head","1","0","0","0","0"
"C81.72","Other classical Hodgkin lymphoma, intrathoracic lymph nodes","201.22","Hodgkins sarcoma thorax","1","0","0","0","0","Other Hodgkin lymphoma, intrathoracic lymph nodes","Hodgkins sarcoma thorax","1","0","0","0","0"
"C81.73","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes","201.23","Hodgkins sarcoma abdom","1","0","0","0","0","Other Hodgkin lymphoma, intra-abdominal lymph nodes","Hodgkins sarcoma abdom","1","0","0","0","0"
"C81.74","Oth class Hodgkin lymphoma, nodes of axilla and upper limb","201.24","Hodgkins sarcoma axilla","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of axilla and upper limb","Hodgkins sarcoma axilla","1","0","0","0","0"
"C81.75","Oth class Hodgkin lymph, nodes of ing region and lower limb","201.25","Hodgkins sarcoma inguin","1","0","0","0","0","Other Hodgkin lymphoma, nodes of ing region and lower limb","Hodgkins sarcoma inguin","1","0","0","0","0"
"C81.76","Other classical Hodgkin lymphoma, intrapelvic lymph nodes","201.26","Hodgkins sarcoma pelvic","1","0","0","0","0","Other Hodgkin lymphoma, intrapelvic lymph nodes","Hodgkins sarcoma pelvic","1","0","0","0","0"
"C81.77","Other classical Hodgkin lymphoma, spleen","201.27","Hodgkins sarcoma spleen","1","0","0","0","0","Other Hodgkin lymphoma, spleen","Hodgkins sarcoma spleen","1","0","0","0","0"
"C81.78","Oth classical Hodgkin lymphoma, lymph nodes mult site","201.28","Hodgkins sarcoma mult","1","0","0","0","0","Other Hodgkin lymphoma, lymph nodes of multiple sites","Hodgkins sarcoma mult","1","0","0","0","0"
"C81.40","Lymphocyte-rich classical Hodgkin lymphoma, unspecified site","201.40","Lym-hst unsp xtrndl orgn","1","0","0","0","0","Lymphocyte-rich Hodgkin lymphoma, unspecified site","Lym-hst unsp xtrndl orgn","1","0","0","0","0"
"C81.49","Lymp-rich class Hodgkin lymph, extrnod and solid organ sites","201.40","Lym-hst unsp xtrndl orgn","1","0","0","0","0","Lymp-rich Hodgkin lymphoma, extranodal and solid organ sites","Lym-hst unsp xtrndl orgn","1","0","0","0","0"
