ICD9,ICD9_Desc,ICD10,ICD10_Desc,APPROX,NOMAP,COMBO,SCENARIO,CHOICE,OBSOLETE
001.0,Cholera d/t vib cholerae,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",0,0,0,0,0,0
001.1,Cholera d/t vib el tor,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",0,0,0,0,0,0
001.9,Cholera NOS,A00.9,"Cholera, unspecified",0,0,0,0,0,0
002.0,Typhoid fever,A01.00,"Typhoid fever, unspecified",1,0,0,0,0,0
002.1,Paratyphoid fever a,A01.1,Paratyphoid fever A,0,0,0,0,0,0
002.2,Paratyphoid fever b,A01.2,Paratyphoid fever B,0,0,0,0,0,0
002.3,Paratyphoid fever c,A01.3,Paratyphoid fever C,0,0,0,0,0,0
002.9,Paratyphoid fever NOS,A01.4,"Paratyphoid fever, unspecified",0,0,0,0,0,0
003.0,Salmonella enteritis,A02.0,Salmonella enteritis,0,0,0,0,0,0
003.1,Salmonella septicemia,A02.1,Salmonella sepsis,1,0,0,0,0,0
003.20,Local salmonella inf NOS,A02.20,"Localized salmonella infection, unspecified",0,0,0,0,0,0
003.21,Salmonella meningitis,A02.21,Salmonella meningitis,0,0,0,0,0,0
003.22,Salmonella pneumonia,A02.22,Salmonella pneumonia,0,0,0,0,0,0
003.23,Salmonella arthritis,A02.23,Salmonella arthritis,0,0,0,0,0,0
003.24,Salmonella osteomyelitis,A02.24,Salmonella osteomyelitis,0,0,0,0,0,0
003.29,Local salmonella inf NEC,A02.29,Salmonella with other localized infection,1,0,0,0,0,0
003.8,Salmonella infection NEC,A02.8,Other specified salmonella infections,0,0,0,0,0,0
003.9,Salmonella infection NOS,A02.9,"Salmonella infection, unspecified",0,0,0,0,0,0
004.0,Shigella dysenteriae,A03.0,Shigellosis due to Shigella dysenteriae,0,0,0,0,0,0
004.1,Shigella flexneri,A03.1,Shigellosis due to Shigella flexneri,0,0,0,0,0,0
004.2,Shigella boydii,A03.2,Shigellosis due to Shigella boydii,0,0,0,0,0,0
004.3,Shigella sonnei,A03.3,Shigellosis due to Shigella sonnei,0,0,0,0,0,0
004.8,Shigella infection NEC,A03.8,Other shigellosis,0,0,0,0,0,0
004.9,Shigellosis NOS,A03.9,"Shigellosis, unspecified",0,0,0,0,0,0
005.0,Staph food poisoning,A05.0,Foodborne staphylococcal intoxication,0,0,0,0,0,0
005.1,Botulism food poisoning,A05.1,Botulism food poisoning,0,0,0,0,0,0
005.2,Food pois d/t c. perfrin,A05.2,Foodborne Clostridium perfringens intoxication,0,0,0,0,0,0
005.3,Food pois: clostrid NEC,A05.8,Other specified bacterial foodborne intoxications,1,0,0,0,0,0
005.4,Food pois: v. parahaem,A05.3,Foodborne Vibrio parahaemolyticus intoxication,0,0,0,0,0,0
005.81,Food poisn d/t v. vulnif,A05.5,Foodborne Vibrio vulnificus intoxication,0,0,0,0,0,0
