ICD9,ICD9_Desc,Category,Category_Desc
001.0,Cholera d/t vib cholerae,A00,Cholera
001.1,Cholera d/t vib el tor,A00,Cholera
001.9,Cholera NOS,A00,Cholera
002.0,Typhoid fever,A01,Typhoid and paratyphoid fevers
002.1,Paratyphoid fever a,A01,Typhoid and paratyphoid fevers
002.2,Paratyphoid fever b,A01,Typhoid and paratyphoid fevers
002.3,Paratyphoid fever c,A01,Typhoid and paratyphoid fevers
002.9,Paratyphoid fever NOS,A01,Typhoid and paratyphoid fevers
003.0,Salmonella enteritis,A02,Other salmonella infections
003.1,Salmonella septicemia,A02,Other salmonella infections
003.20,Local salmonella inf NOS,A02,Other salmonella infections
003.21,Salmonella meningitis,A02,Other salmonella infections
003.22,Salmonella pneumonia,A02,Other salmonella infections
003.23,Salmonella arthritis,A02,Other salmonella infections
003.24,Salmonella osteomyelitis,A02,Other salmonella infections
003.29,Local salmonella inf NEC,A02,Other salmonella infections
003.8,Salmonella infection NEC,A02,Other salmonella infections
003.9,Salmonella infection NOS,A02,Other salmonella infections
004.0,Shigella dysenteriae,A03,Shigellosis
004.1,Shigella flexneri,A03,Shigellosis
004.2,Shigella boydii,A03,Shigellosis
004.3,Shigella sonnei,A03,Shigellosis
004.8,Shigella infection NEC,A03,Shigellosis
004.9,Shigellosis NOS,A03,Shigellosis
005.0,Staph food poisoning,A05,"Oth bacterial foodborne intoxications, NEC"
005.1,Botulism food poisoning,A05,"Oth bacterial foodborne intoxications, NEC"
005.2,Food pois d/t c. perfrin,A05,"Oth bacterial foodborne intoxications, NEC"
005.3,Food pois: clostrid NEC,A05,"Oth bacterial foodborne intoxications, NEC"
005.4,Food pois: v. parahaem,A05,"Oth bacterial foodborne intoxications, NEC"
005.81,Food poisn d/t v. vulnif,A05,"Oth bacterial foodborne intoxications, NEC"
005.89,Bact food poisoning NEC,A05,"Oth bacterial foodborne intoxications, NEC"
005.9,Food poisoning NOS,A05,"Oth bacterial foodborne intoxications, NEC"
006.0,Ac amebiasis w/o abscess,A06,Amebiasis
006.1,Chr amebiasis w/o absces,A06,Amebiasis
006.2,Amebic nondysent colitis,A06,Amebiasis
006.3,Amebic liver abscess,A06,Amebiasis
006.4,Amebic lung abscess,A06,Amebiasis
006.5,Amebic brain abscess,A06,Amebiasis
006.6,Amebic skin ulceration,A06,Amebiasis
